,List Comments
21,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
22,[]
23,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
24,"['', '', '', '', '', '', '', '', '', '']"
25,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
26,[]
27,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
28,"['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với']"
29,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
30,[]
31,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
32,"['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop']"
33,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
34,[]
35,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
36,"['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá']"
37,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
38,[]
39,"[['Má, hôm nay ngày gì mà có tận 2 bài văn mẫu thế nhể 🤣🤣🤣🤣', 'Hạt trưởng Hạt kiểm lâm', 'Nguyễn Phạm Xuân Mai dí', 'Nửa Nạc Nửa Mỡ tụi nó dí Vinh'], [...], [], [...], ['Where is Vergil?', 'Đái', '""Tifa Humilliation"" tên đây....ae cứ lên rule34video nhập vào là ra :))))', 'Tôi chưa bao giờ tìm dc source này của tifa nhá=)))', ""dai'"", 'Tôi coá link ._.', 'Nguyễn Đức Cường chắc em thích điều này 🐧', 'Hùng Phúc rp', 'Mạnh Hùng', ''], [...], [], [...], ['=)))))))', 'Vua đầu bết is real :))))', 'Quang Huy :))))', 'Vũ Tiến Đức nghe giống mr. Đ nào đó vậy🐧'], [...], [], [...], ['Không, anh chỉ cười thôi :)))'], [...], [], [...], ['', 'ngoll', 'Ban tum lummmmmmm', 'Bantumlum', 'Oh shit:))', 'em re em re', '=)))))))))))', 'Quang Vinh Vương Gia Hiếu Trung Dũng Nguyễn Phúc Trọng dì mai này khác', 'Minh Đặng rì mai=)', 'Oh shit'], [...], [], [...], ['', 'Bạn chiến thần ơi bạn đang comment 1 câu mà a ngok k thích tý nào đâu nhé', 'Đâu phải ai cx như anh', '', 'Nghệ cả củ ạ :))))', 'flex nhma smooth vl =)))', 'mê cái cách anh ấy flex', 'đỉnh cao flexing :))', 'Clm tưởng nhầm page =))', 'Flexin chỉ là vô tình'], [...], [], [...], ['', '', '', '', '', '', '', '', '', ''], [...], [], [...], ['Một vị hoàng đế vĩ đại đã từng nói:', 'ngài hiện tại như kiểu chơi đá up stt ý =)))))', '', '', '', 'T học tiếng nhật mà đọc còn nản', 'Old but gold', 'Quả văn mẫu ngứa đít nhất từng thấy', 'Xưa tôi cũng hay đm wibu lắm nhưng giờ thành wibu mẹ r', 'cái qq gì vạy, ai cho xin ít lửa của cái văn mẫu này với'], [...], [], [...], ['toi vo toi', '', 'pen', 'Toi thi thoảng xem 210 với alime echi thì có bị gia nhập vào quíbửu không hả các ông để tôi còn cai', '', 'Ảnh cho ai cần check VAR\nNày thổi pen là chắc', 'pen', 'Đáy xh ngóc đầu lên dc 1 tý h lại xuống 3 mét nữa à. Qipu này deonroi', 'Pha này thì trời cứu =)))', 'Trong truong hop'], [...], [], [...], ['', '', '', '', 'Vc, nhạc cấp 7 thông thạo ghép cái đíu gì cũng xương khớp😹😹', '4h dậy đi công tác mà tôi vẫn chưa ngủ được 😑', '', 'Quả nhạc sống tốt vcl :))', 'Siuuuuu', 'Nhạc cô thương vẫn đỉnh quá'], [...], [], [...]]"
